school_id	school	velthuis	district1	confidence	all_matches	district_english	name	location	ward	local_level_id	local_level	district_id	district	province_id	province	old_name1	old_name2	old_name3	district_similarity_score	location_similarity_score	score_name_and_velthuis
138	गोग्राहा माध्यमिक विद्यालय, विराटनगर, मोरङ	"gograahaa maadhyamika vidyaalaya, viraa.tanagara, mora""na"	मोरङ	100.0	[('मोरङ', 100.0, 57), ('मुगु', 80.0, 41), ('लमजुङ', 75.0, 5)]	Morang	Adarsha Balika Secondary School	Gahaile Tole	7.0	406	Biratnagar Metropolitan City	6	Morang	1	Koshi Province	Adarsha Balika Ma V			1.0	0.29545454545454547	0.29545454545454547
188	गोग्राहा माध्यमिक विद्यालय, विराटनगर, मोरङ	"gograahaa maadhyamika vidyaalaya, viraa.tanagara, mora""na"	मोरङ	100.0	[('मोरङ', 100.0, 57), ('मुगु', 80.0, 41), ('लमजुङ', 75.0, 5)]	Morang	Adharbhut vidyalaya Kanchanbari	Kanchanbari	4.0	406	Biratnagar Metropolitan City	6	Morang	1	Koshi Province	Adhar V Kanchanbari			1.0	0.4318181818181818	0.4318181818181818
1180	गोग्राहा माध्यमिक विद्यालय, विराटनगर, मोरङ	"gograahaa maadhyamika vidyaalaya, viraa.tanagara, mora""na"	मोरङ	100.0	[('मोरङ', 100.0, 57), ('मुगु', 80.0, 41), ('लमजुङ', 75.0, 5)]	Morang	Anantajyoti Vidhya Mandir Ebs	Katahri	1.0	412	Katahari Rural Municipality	6	Morang	1	Koshi Province				1.0	0.2558139534883721	0.2558139534883721
1104	दाङसिङजरे प्रा वि, भोजपुर	"daa""nasi""najare praa vi, bhojapura"	भोजपुर	100.0	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur	Aitabare Ni Ma	Thumlung	6.0	101	Salpasilichho Rural Municipality	1	Bhojpur	1	Koshi Province				1.0	0.25	0.25
1108	दाङसिङजरे प्रा वि, भोजपुर	"daa""nasi""najare praa vi, bhojapura"	भोजपुर	100.0	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur	Aitabare Pra V	Thulopari	10.0	97	Bhojpur Municipality	1	Bhojpur	1	Koshi Province				1.0	0.3333333333333333	0.3333333333333333
1150	जीवनज्योति माध्यमिक विद्यालय, इलाम	jiivanajyoti maadhyamika vidyaalaya, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amarjyoti Basic School	Sangrumba Kopche	12.0	245	Ilam Municipality	3	Ilam	1	Koshi Province	Amarjyoti Adhar V			1.0	0.3076923076923077	0.3076923076923077
138	वाणी माध्यमिक विद्यालय, सिधराहा, मोरङ	"vaa.nii maadhyamika vidyaalaya, sidharaahaa, mora""na"	मोरङ	100.0	[('मोरङ', 100.0, 57), ('मुगु', 80.0, 41), ('लमजुङ', 75.0, 5)]	Morang	Adarsha Balika Secondary School	Gahaile Tole	7.0	406	Biratnagar Metropolitan City	6	Morang	1	Koshi Province	Adarsha Balika Ma V			1.0	0.3132530120481928	0.3132530120481928
177	वाणी माध्यमिक विद्यालय, सिधराहा, मोरङ	"vaa.nii maadhyamika vidyaalaya, sidharaahaa, mora""na"	मोरङ	100.0	[('मोरङ', 100.0, 57), ('मुगु', 80.0, 41), ('लमजुङ', 75.0, 5)]	Morang	Adhar V Khayarbana	Katahari	4.0	412	Katahari Rural Municipality	6	Morang	1	Koshi Province				1.0	0.3142857142857143	0.3142857142857143
188	वाणी माध्यमिक विद्यालय, सिधराहा, मोरङ	"vaa.nii maadhyamika vidyaalaya, sidharaahaa, mora""na"	मोरङ	100.0	[('मोरङ', 100.0, 57), ('मुगु', 80.0, 41), ('लमजुङ', 75.0, 5)]	Morang	Adharbhut vidyalaya Kanchanbari	Kanchanbari	4.0	406	Biratnagar Metropolitan City	6	Morang	1	Koshi Province	Adhar V Kanchanbari			1.0	0.40963855421686746	0.40963855421686746
1180	वाणी माध्यमिक विद्यालय, सिधराहा, मोरङ	"vaa.nii maadhyamika vidyaalaya, sidharaahaa, mora""na"	मोरङ	100.0	[('मोरङ', 100.0, 57), ('मुगु', 80.0, 41), ('लमजुङ', 75.0, 5)]	Morang	Anantajyoti Vidhya Mandir Ebs	Katahri	1.0	412	Katahari Rural Municipality	6	Morang	1	Koshi Province				1.0	0.2716049382716049	0.2716049382716049
130	राष्टि्य निम्न माध्यमिक विधालय सोयाङ, इलाम	"raa.s.tiya nimna maadhyamika vidhaalaya soyaa""na, ilaama"	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.2608695652173913	0.2608695652173913
130	आदरणीय निम्न माध्यमिक विधालय, इलाम	aadara.niiya nimna maadhyamika vidhaalaya, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.3870967741935484	0.3870967741935484
1151	जनकल्याण्ा प्रा॰वि॰दोकानडाँडा, इलाम	janakalyaa.naa praa॰vi॰dokaana.daaँ.daa, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amarkalyan Secondary School	Maijogmai	1.0	247	Maijogmai Rural Municipality	3	Ilam	1	Koshi Province	Amarkalyan MA VI	Amarkalyan Ma V		1.0	0.3783783783783784	0.3783783783783784
138	कृष्ण प्राथमिक विद्यालय लेटाङ, मोरङ	"k.r.s.na praathamika vidyaalaya le.taa""na, mora""na"	मोरङ	100.0	[('मोरङ', 100.0, 57), ('मुगु', 80.0, 41), ('लमजुङ', 75.0, 5)]	Morang	Adarsha Balika Secondary School	Gahaile Tole	7.0	406	Biratnagar Metropolitan City	6	Morang	1	Koshi Province	Adarsha Balika Ma V			1.0	0.2962962962962963	0.2962962962962963
188	कृष्ण प्राथमिक विद्यालय लेटाङ, मोरङ	"k.r.s.na praathamika vidyaalaya le.taa""na, mora""na"	मोरङ	100.0	[('मोरङ', 100.0, 57), ('मुगु', 80.0, 41), ('लमजुङ', 75.0, 5)]	Morang	Adharbhut vidyalaya Kanchanbari	Kanchanbari	4.0	406	Biratnagar Metropolitan City	6	Morang	1	Koshi Province	Adhar V Kanchanbari			1.0	0.4444444444444444	0.4444444444444444
1151	जन कल्याण आधारभूत विद्यालय, लक्ष्मीपुर -५, इलाम	jana kalyaa.na aadhaarabhuuta vidyaalaya, lak.smiipura -5, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amarkalyan Secondary School	Maijogmai	1.0	247	Maijogmai Rural Municipality	3	Ilam	1	Koshi Province	Amarkalyan MA VI	Amarkalyan Ma V		1.0	0.2826086956521739	0.2826086956521739
19	विद्याधरी प्राथमिक विद्यालय रामप्रसादराई गा॰पा॰, भोजपुर	vidyaadharii praathamika vidyaalaya raamaprasaadaraaii gaa॰paa॰, bhojapura	भोजपुर	100.0	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur	Aadarsha Gyankunja Academy	Bhojpur	9.0	97	Bhojpur Municipality	1	Bhojpur	1	Koshi Province				1.0	0.18	0.18
1167	वरभन्ज्या नि॰मा॰वि॰, इलाम	varabhanjyaa ni॰maa॰vi॰, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amlise Bhanjyang Basic School	Amlise	1.0	246	Mai Municipality	3	Ilam	1	Koshi Province	Amlise Bhanjyang Adharbhut Bidhyalaya	Amlise Bhanjyang Pra V		1.0	0.3	0.3
130	बुद्ध माध्यमिक विद्यालय, इलाम	buddha maadhyamika vidyaalaya, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.28	0.28
148	बुद्ध माध्यमिक विद्यालय, इलाम	buddha maadhyamika vidyaalaya, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarsha Buddha Basic School	Bhalukhop	1.0	246	Mai Municipality	3	Ilam	1	Koshi Province	Adarsha Buddha Adharbhut Bidhyalaya	Adrasha Buddha Pra V		1.0	0.28125	0.28125
149	बुद्ध माध्यमिक विद्यालय, इलाम	buddha maadhyamika vidyaalaya, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarsha Buddha Pra V	Bhalukhop	9.0	246	Mai Municipality	3	Ilam	1	Koshi Province				1.0	0.2807017543859649	0.2807017543859649
1151	भगवती माध्यमिक विद्यालय, गोलाखर्क, इलाम	bhagavatii maadhyamika vidyaalaya, golaakharka, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amarkalyan Secondary School	Maijogmai	1.0	247	Maijogmai Rural Municipality	3	Ilam	1	Koshi Province	Amarkalyan MA VI	Amarkalyan Ma V		1.0	0.1728395061728395	0.1728395061728395
130	आदर्श माध्यमिक विद्यालय, इलाम	"aadar""sa maadhyamika vidyaalaya, ilaama"	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.34615384615384615	0.34615384615384615
130	नेपालटार माध्यमिक विद्यालय साखेजुङ, इलाम	"nepaala.taara maadhyamika vidyaalaya saakheju""na, ilaama"	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.2318840579710145	0.2318840579710145
1150	नव ज्योती आधारभूत विद्यालय, इलाम	nava jyotii aadhaarabhuuta vidyaalaya, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amarjyoti Basic School	Sangrumba Kopche	12.0	245	Ilam Municipality	3	Ilam	1	Koshi Province	Amarjyoti Adhar V			1.0	0.29850746268656714	0.29850746268656714
