school_id,school,school_1,School_level,School_name,Location,Matched_district
167,"सिद्धार्थ आधारभूत विद्यालय, इलाम",सिद्धार्थ आवि इलाम,आवि,सिद्धार्थ,इलाम,इलाम
168,"राष्ट्रिय आधारभूत विद्यालय, माइजोगमाई, इलाम",राष्ट्रिय आवि माइजोगमाई इलाम,आवि,राष्ट्रिय,माइजोगमाई इलाम,इलाम
169,"हमालय निम्न माध्यमिक विधालय, चसापानी, इलाम",हमालय निमावि चसापानी इलाम,निमावि,हमालय,चसापानी इलाम,इलाम
170,"पूर्णस्मारक माध्यमिक विद्यालय, इलाम",पूर्णस्मारक मावि इलाम,मावि,पूर्णस्मारक,इलाम,इलाम
171,"जनकल्याण प्राथमिक विधालय गोदक, इलाम",जनकल्याण प्रावि गोदक इलाम,प्रावि,जनकल्याण,गोदक इलाम,इलाम
172,"सरस्वती उ॰ माध्यमिक विद्यालय, वतासे, इलाम",सरस्वती मावि वतासे इलाम,मावि,सरस्वती,वतासे इलाम,इलाम
173,"राष्टप्रेमी उ॰ माध्यमिक विधालय, इलाम",राष्टप्रेमी मावि इलाम,मावि,राष्टप्रेमी,इलाम,इलाम
174,"वालकन्या नि॰मा॰वि॰, इलाम",वालकन्या निमावि इलाम,निमावि,वालकन्या,इलाम,इलाम
175,"युवावर्ष प्रा॰वि॰, इलाम",युवावर्ष प्रावि इलाम,प्रावि,युवावर्ष,इलाम,इलाम
176,"त्रिभुवन प्रा॰वि॰पञ्चकन्या, इलाम",त्रिभुवन प्रावि पञ्चकन्या इलाम,प्रावि,त्रिभुवन,पञ्चकन्या इलाम,इलाम
177,"अमर ज्योती आधारभूत विद्यालय साङरुम्बा, इलाम",अमर ज्योती आवि साङरुम्बा इलाम,आवि,अमर ज्योती,साङरुम्बा इलाम,इलाम
178,"महेश्वरा निम्न माध्यमिक विधालय, सोयाक इलाम",महेश्वरा निमावि सोयाक इलाम,निमावि,महेश्वरा,सोयाक इलाम,इलाम
179,"देउमाई आधारभूत विद्यालय, ईलाम",देउमाई आवि ईलाम,आवि,देउमाई,ईलाम,इलाम
180,"सूर्योदय आधारभूत विद्यालय, बरबोटे, इलाम",सूर्योदय आवि बरबोटे इलाम,आवि,सूर्योदय,बरबोटे इलाम,इलाम
181,"बाल कल्याण आधारभूत विद्यालय, इलाम",बाल कल्याण आवि इलाम,आवि,बाल कल्याण,इलाम,इलाम
182,"जाल्पा प्रा॰ वी॰, इलाम",जाल्पा प्रावि इलाम,प्रावि,जाल्पा,इलाम,इलाम
183,"नारायण आधारभूत विद्यालय, गोदक इलाम",नारायण आवि गोदक इलाम,आवि,नारायण,गोदक इलाम,इलाम
184,"सरस्वती प्रा॰वि॰, दानाबारी, इलाम",सरस्वती प्रावि दानाबारी इलाम,प्रावि,सरस्वती,दानाबारी इलाम,इलाम
185,"भगवती आधारभूत विद्यालय, जितपुर, इलाम",भगवती आवि जितपुर इलाम,आवि,भगवती,जितपुर इलाम,इलाम
186,"जालपा नि॰मा॰वि।, इलाम",जालपा निमावि इलाम,निमावि,जालपा,इलाम,इलाम
187,"कमल देवी आधारभूत विद्यालय, इलाम",कमल देवी आवि इलाम,आवि,कमल देवी,इलाम,इलाम
188,"फलाटे माध्यमिक विद्यालय, इलाम",फलाटे मावि इलाम,मावि,फलाटे,इलाम,इलाम
189,"वालमण्डल उ॰ माध्यमिक विधालय, इलाम",वालमण्डल मावि इलाम,मावि,वालमण्डल,इलाम,इलाम
190,"वाल्मिकी सिंहदेवी आधारभूत विद्यालय, इलाम",वाल्मिकी सिंहदेवी आवि इलाम,आवि,वाल्मिकी सिंहदेवी,इलाम,इलाम
191,"जनता माध्यमिक विद्यालय माई नगरपालिका, इलाम",जनता मावि माई नगरपालिका इलाम,मावि,जनता,माई नगरपालिका इलाम,इलाम
192,"थोकफेला प्राथमिक विधालय, इलाम",थोकफेला प्रावि इलाम,प्रावि,थोकफेला,इलाम,इलाम
193,"नारायण जन माध्यमिक विधालय मच्छेगाउँ, काठमाडौं",नारायण जन मावि मच्छेगाउँ काठमाडौं,मावि,नारायण जन,मच्छेगाउँ काठमाडौं,काठमाडौं
194,"विणापाणी माध्यमिक विद्यालय, इलाम",विणापाणी मावि इलाम,मावि,विणापाणी,इलाम,इलाम
195,"बाँझोगाउँ माध्यमिक विद्यालय चुलाचुली, इलाम",बाँझोगाउँ मावि चुलाचुली इलाम,मावि,बाँझोगाउँ,चुलाचुली इलाम,इलाम
196,"सिद्ध देवी प्राथमिक विधालय पुवामजुवा, इलाम",सिद्ध देवी प्रावि पुवामजुवा इलाम,प्रावि,सिद्ध देवी,पुवामजुवा इलाम,इलाम
197,"सिद्धदेउमाई निम्न माध्यमिक विधालय चयैता, इलाम",सिद्धदेउमाई निमावि चयैता इलाम,निमावि,सिद्धदेउमाई,चयैता इलाम,इलाम
198,"डम्बर देवी माध्यमिक विद्यालय, इलाम",डम्बर देवी मावि इलाम,मावि,डम्बर देवी,इलाम,इलाम
199,"माहेन्द्र माध्यमिक विद्यालय, तनहुँ",माहेन्द्र मावि तनहुँँ,मावि,माहेन्द्र,तनहुँँ,तनहुँ
